latitude,longitude,avg_rating,num_of_reviews,CreditCards,OutdoorSeating,TakeOut,cat_restaurante brasileño,cat_restaurante caribeño,cat_restaurante centroamericano,cat_restaurante chileno,cat_restaurante colombiano,cat_restaurante cubano,cat_restaurante dominicano,cat_restaurante ecuatoriano,cat_restaurante latinoamericano,cat_restaurante mexicano,cat_restaurante paraguayo,cat_restaurante peruano,cat_restaurante puertorriqueño,cat_restaurante uruguayo,cat_restaurante venezolano,cluster
37.7890757,-122.2338843,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40.581086,-73.960139,4.4,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
34.0799951,-117.9889514,3.7,38.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26.0102496,-80.14865929999999,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.799632,-122.436278,3.3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26.4804738,-97.7829638,3.8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
40.745304,-73.978768,3.6,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
37.7781747,-122.3907248,3.4,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32.935225599999995,-96.8896271,3.1,56.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
32.8098057,-97.2394571,4.7,38.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
29.8227738,-95.5256832,4.7,28.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
29.8328385,-95.5456268,3.7,8.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
28.1284549,-81.6148446,4.6,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28.1125766,-81.61770059999999,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42.3411342,-87.8413727,4.9,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
34.0545417,-118.2767675,4.3,30.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
33.943177,-117.990859,4.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25.1048678,-80.4310241,4.2,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26.178313,-80.2542131,4.9,54.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32.7132609,-117.1599268,3.8,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27.5753412,-99.4732209,4.0,28.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
40.7792805,-73.9155677,4.6,8.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
29.5028725,-97.4535495,4.8,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
38.7877778,-121.2072222,2.5,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41.7309779,-88.2977678,4.1,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
40.7023054,-73.8127452,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
30.56146,-97.67868,2.8,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
37.34951,-121.912172,5.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33.519318,-101.9554248,2.3,25.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
37.7442557,-122.1698268,4.7,35.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32.8723438,-97.291843,4.7,68.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
32.8422236,-116.9868341,4.2,28.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38.2223598,-122.1254974,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40.7245722,-73.3597333,4.3,98.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
30.4475211,-97.8043573,4.4,15.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
27.539505,-99.510202,4.6,88.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
33.320630099999995,-111.9915054,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32.9317923,-97.2993955,4.4,58.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
